Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age (day),Concrete compressive strength 
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.02984744
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3.0,17.9953236
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28.0,25.21689522
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91.0,57.59882504
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,28.0,46.38794528
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28.0,44.13335876
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28.0,33.94772981
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,56.0,35.57006684
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28.0,10.53519328
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14.0,30.38520732
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28.0,40.9348796
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07424367
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7.0,19.35014394
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28.0,24.29092896
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,28.0,47.401475
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.0919902
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28.0,40.93419012
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14.0,22.31833812
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56325203
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82319446
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,13.71367764
234.0,156.0,0.0,189.0,5.85,981.0,760.0,28.0,39.300132
202.0,11.0,141.0,206.0,1.72,942.0,801.0,3.0,9.849657146
194.68,0.0,100.52,170.17,7.48,998.0,901.8,14.0,24.28334472
387.0,20.0,94.0,157.0,14.32,938.0,845.0,56.0,56.33708396
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3.0,15.81657944
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,25.11662572
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28.0,13.46132942
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28.0,27.68108245
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28.0,41.36856
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.9346198
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,56.0,60.32225524
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.1964508
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.40795006
